
[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 142, 143, 144, 146, 147, 148, 148, 149, 151, 151, 151, 151, 151, 151, 155, 156, 156, 157, 158, 159, 159, 159, 159, 159, 161, 161, 162, 162, 162, 163, 164, 165, 165, 166, 166, 167, 167, 167, 167, 168, 168, 170, 170, 170, 170, 171, 175, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 173, 173, 173, 173, 173, 174, 174, 174, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 178, 178, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 172, 171, 170, 170, 170, 170, 168, 168, 167, 167, 166, 166, 167, 167, 167, 167, 164, 160, 160, 160, 159, 159, 159, 159, 159, 159, 159, 157, 157, 156, 156, 155, 153, 151, 151, 151, 151, 150, 149, 146, 144, 143, 143, 143, 151, 151, 151, 151, 151, 151, 151, 159, 167, 167, 175, 175, 183, 191, 191, 191, 191, 191, 199, 207, 215, 223, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[36.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 142, 143, 143, 146, 147, 147, 148, 149, 151, 151, 151, 151, 151, 151, 155, 156, 156, 157, 158, 159, 159, 160, 161, 162, 162, 162, 162, 162, 162, 162, 164, 165, 165, 166, 166, 167, 167, 167, 167, 168, 168, 170, 170, 170, 170, 171, 175, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 182, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 180, 178, 175, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 172, 171, 170, 170, 170, 170, 168, 168, 167, 167, 166, 166, 167, 167, 167, 167, 164, 160, 160, 160, 159, 159, 159, 159, 159, 159, 159, 158, 157, 157, 156, 156, 154, 151, 151, 151, 151, 150, 149, 146, 144, 143, 143, 143, 151, 151, 151, 151, 151, 151, 151, 159, 175, 175, 175, 175, 183, 191, 191, 191, 191, 191, 191, 207, 215, 223, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[72.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 140, 141, 144, 146, 147, 148, 148, 149, 151, 151, 151, 151, 151, 151, 155, 156, 156, 157, 158, 159, 159, 159, 159, 159, 161, 161, 162, 162, 162, 163, 164, 165, 165, 166, 166, 167, 167, 167, 167, 168, 168, 170, 170, 170, 170, 171, 175, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 178, 175, 174, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 172, 171, 170, 170, 170, 170, 168, 168, 167, 166, 166, 166, 166, 166, 167, 167, 163, 160, 160, 160, 159, 159, 159, 159, 159, 159, 158, 156, 156, 156, 156, 155, 153, 151, 151, 151, 151, 151, 148, 146, 143, 143, 143, 143, 143, 143, 151, 135, 143, 143, 151, 159, 167, 167, 175, 175, 175, 191, 191, 191, 191, 191, 199, 207, 215, 223, 231, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[108.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 146, 147, 148, 149, 151, 151, 151, 151, 153, 154, 155, 156, 156, 157, 159, 159, 159, 160, 161, 162, 162, 163, 164, 164, 165, 165, 166, 166, 166, 167, 167, 167, 167, 169, 169, 171, 171, 172, 172, 172, 172, 173, 173, 173, 173, 173, 173, 174, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 176, 178, 178, 178, 178, 178, 178, 179, 179, 179, 179, 179, 179, 179, 179, 179, 179, 179, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 178, 178, 175, 175, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 173, 173, 173, 173, 173, 173, 173, 172, 172, 172, 171, 171, 170, 170, 168, 167, 167, 167, 167, 167, 166, 166, 165, 164, 163, 163, 161, 160, 159, 159, 159, 159, 157, 157, 156, 154, 151, 151, 151, 151, 151, 143, 143, 143, 143, 143, 143, 141, 141, 139, 143, 143, 143, 151, 159, 175, 175, 175, 175, 183, 191, 191, 191, 191, 191, 199, 207, 215, 223, 231, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[144.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 149, 150, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 159, 159, 161, 167, 167, 162, 163, 164, 165, 166, 166, 167, 167, 167, 167, 167, 167, 167, 170, 175, 175, 175, 172, 172, 172, 173, 173, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 178, 178, 178, 178, 179, 179, 179, 179, 179, 179, 179, 179, 179, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 180, 180, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 181, 182, 182, 183, 183, 183, 183, 180, 180, 180, 180, 180, 180, 180, 180, 179, 179, 178, 178, 176, 176, 175, 175, 175, 175, 175, 175, 175, 174, 174, 173, 173, 172, 172, 171, 175, 175, 175, 175, 167, 167, 167, 167, 167, 166, 165, 164, 164, 163, 162, 161, 160, 159, 159, 159, 157, 151, 151, 151, 151, 151, 151, 148, 147, 146, 143, 143, 143, 143, 151, 143, 143, 143, 159, 159, 167, 175, 175, 175, 183, 191, 191, 191, 191, 191, 199, 215, 215, 223, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[180.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 150, 151, 151, 151, 154, 154, 155, 155, 156, 159, 159, 159, 159, 159, 162, 162, 163, 163, 164, 165, 166, 167, 167, 167, 167, 169, 169, 170, 170, 170, 171, 172, 172, 173, 173, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 178, 183, 183, 183, 179, 180, 180, 180, 180, 180, 180, 181, 181, 181, 181, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 182, 182, 181, 181, 180, 180, 179, 179, 179, 179, 178, 178, 178, 176, 176, 176, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 168, 167, 167, 167, 167, 167, 167, 165, 165, 164, 164, 163, 167, 167, 167, 167, 158, 156, 155, 155, 154, 152, 151, 151, 151, 151, 151, 151, 151, 143, 143, 143, 143, 143, 159, 159, 175, 175, 175, 175, 183, 191, 191, 191, 191, 191, 199, 207, 215, 223, 231, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[216.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 150, 151, 151, 153, 154, 155, 155, 156, 156, 159, 159, 159, 159, 159, 161, 162, 162, 163, 164, 165, 166, 167, 167, 167, 167, 167, 169, 170, 170, 171, 171, 172, 172, 173, 173, 174, 174, 174, 174, 175, 175, 175, 175, 175, 175, 175, 177, 178, 178, 179, 179, 179, 179, 180, 180, 180, 180, 181, 181, 181, 181, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 182, 182, 181, 181, 180, 180, 180, 180, 180, 180, 179, 179, 179, 179, 178, 176, 176, 176, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 175, 168, 167, 167, 167, 167, 167, 167, 165, 165, 164, 164, 163, 167, 167, 167, 167, 158, 156, 155, 155, 154, 152, 151, 151, 151, 151, 151, 151, 151, 143, 143, 143, 143, 143, 151, 159, 167, 175, 175, 175, 183, 191, 191, 191, 191, 191, 191, 207, 215, 223, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[252.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 147, 146, 0, 151, 151, 154, 154, 155, 156, 159, 159, 159, 159, 159, 159, 163, 164, 164, 164, 167, 167, 167, 167, 167, 167, 170, 170, 171, 171, 171, 172, 172, 174, 173, 173, 173, 173, 174, 174, 175, 175, 175, 175, 175, 175, 175, 178, 179, 179, 179, 179, 180, 180, 180, 180, 181, 181, 181, 181, 181, 181, 181, 181, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 181, 181, 180, 180, 180, 180, 180, 180, 180, 180, 179, 179, 178, 178, 178, 178, 176, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 174, 175, 175, 175, 170, 168, 167, 167, 167, 167, 166, 166, 165, 164, 163, 162, 161, 167, 167, 167, 167, 151, 151, 151, 151, 151, 151, 151, 151, 150, 150, 150, 150, 151, 151, 151, 143, 143, 143, 151, 159, 175, 175, 175, 175, 183, 183, 191, 191, 199, 199, 199, 215, 215, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[288.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 147, 146, 0, 151, 153, 154, 154, 155, 155, 158, 159, 159, 159, 159, 160, 164, 164, 164, 165, 167, 167, 167, 167, 167, 167, 170, 170, 171, 171, 171, 172, 172, 172, 173, 173, 173, 173, 174, 174, 175, 175, 175, 175, 175, 175, 175, 178, 179, 179, 179, 179, 180, 180, 180, 180, 181, 181, 181, 181, 181, 181, 181, 181, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 182, 182, 181, 181, 180, 180, 180, 180, 180, 180, 179, 179, 179, 178, 176, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 173, 173, 172, 172, 171, 167, 167, 167, 167, 167, 166, 165, 164, 164, 163, 163, 162, 167, 167, 167, 167, 154, 153, 153, 153, 152, 152, 151, 151, 150, 150, 150, 150, 151, 151, 151, 143, 143, 143, 151, 159, 159, 175, 175, 175, 183, 183, 191, 191, 199, 199, 199, 207, 215, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[324.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 148, 149, 149, 151, 153, 154, 154, 155, 155, 158, 159, 159, 159, 159, 159, 163, 164, 164, 164, 167, 167, 167, 167, 167, 167, 170, 170, 171, 171, 171, 171, 172, 172, 173, 173, 173, 173, 174, 174, 174, 175, 175, 175, 175, 175, 175, 178, 179, 179, 179, 179, 180, 180, 180, 180, 181, 181, 181, 181, 181, 181, 181, 181, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 183, 183, 183, 183, 183, 183, 182, 182, 182, 182, 182, 182, 182, 182, 182, 182, 181, 181, 180, 180, 180, 180, 180, 180, 180, 180, 179, 179, 178, 178, 178, 178, 176, 175, 175, 175, 175, 175, 175, 175, 174, 174, 174, 174, 175, 175, 175, 170, 168, 167, 167, 167, 167, 166, 165, 164, 164, 163, 163, 162, 167, 167, 167, 167, 155, 151, 151, 151, 151, 151, 151, 151, 150, 150, 150, 150, 151, 151, 151, 143, 143, 143, 151, 159, 175, 175, 175, 175, 183, 191, 191, 191, 191, 199, 199, 207, 215, 223, 231, 231, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
